"welfare","cum_welfare","cum_population","bin","year"
0,0,2.9893708435601e-08,0,2001
0,0,0.00999929600316634,1,2001
0,0,0.0199999372232123,2,2001
0,0,0.0299999506753811,3,2001
0,0,0.0399988879540462,4,2001
0,0,0.0500003363042199,5,2001
0,0,0.0600018444418105,6,2001
0,0,0.0699982407552586,7,2001
0,0,0.0800022599643577,8,2001
0,0,0.0900009879870638,9,2001
0,0,0.100000792183274,10,2001
0,0,0.110000058292731,11,2001
0,0,0.119997650354517,12,2001
0,0,0.130002028288117,13,2001
0,0,0.140001234610158,14,2001
0,0,0.150002892216291,15,2001
0,0,0.160003085030711,16,2001
0,0,0.169997179528609,17,2001
0,0,0.179999405115202,18,2001
0,0,0.190003035706092,19,2001
0,0,0.200000059787417,20,2001
0,0,0.209996964293908,21,2001
0,0,0.219999638286128,22,2001
0,0,0.229995406831699,23,2001
0,0,0.239997811780543,24,2001
0,0,0.250000874390972,25,2001
0,0,0.260001485717309,26,2001
0,0,0.270002126937355,27,2001
0,0,0.280000047829933,28,2001
0.0360339510968298,2.47310657283503e-05,0.289994770095709,29,2001
0.105642194132126,0.00019922874662663,0.300000612821023,30,2001
0.174903421987504,0.000541956801471203,0.309999998505315,31,2001
0.252098018514342,0.00106656810034283,0.319996036094261,32,2001
0.323594483287869,0.00177623855221087,0.330002775630828,33,2001
0.394993143345937,0.00265888025483988,0.339996361935683,34,2001
0.469182513593138,0.00372253769648064,0.350004207539462,35,2001
0.539868136848228,0.00495982909491293,0.360000364703243,36,2001
0.617931837371611,0.00638096967678536,0.369994070582932,37,2001
0.691751528540248,0.00798811518075199,0.380001467781084,38,2001
0.770306636187282,0.00978150541191852,0.389999269098829,39,2001
0.851769341778568,0.011775736905416,0.400005171611559,40,2001
0.936269427313069,0.0139657497537401,0.410002703885928,41,2001
1.01555490235886,0.0163608434332826,0.419998173494415,42,2001
1.09202019095966,0.0189507386723655,0.43000246174689,43,2001
1.17346972946009,0.0217305534027368,0.440004956376859,44,2001
1.25630736460622,0.0247119371927412,0.450000993965806,45,2001
1.34853233660151,0.027910148567732,0.460005969773575,46,2001
1.43733021672362,0.0313314498802092,0.470004428752905,47,2001
1.53076590582894,0.0349724781509875,0.479995862710753,48,2001
1.62495228874585,0.0388514476591858,0.490002572353611,49,2001
1.72018302073694,0.0429549057646091,0.499998281111765,50,2001
1.82083900699577,0.0472980763707616,0.509992465290789,51,2001
1.92387650010488,0.0518970340213081,0.520000131532317,52,2001
2.02868185615852,0.0567505611164752,0.529998620405356,53,2001
2.12685455490074,0.0618518813581387,0.540001742803202,54,2001
2.23165845395404,0.0672018974745588,0.550000082207698,55,2001
2.34611902185172,0.0728232638900088,0.560005895039304,56,2001
2.46859641293482,0.0787332954724656,0.570006894983851,57,2001
2.58402106435308,0.084927604894936,0.579999763839703,58,2001
2.70524612177213,0.0914175520635689,0.590001839957754,59,2001
2.82770332952846,0.098213298123617,0.599998953720205,60,2001
2.9520434876513,0.105305539892306,0.609997053975034,61,2001
3.08598239026729,0.112727797898264,0.620005945858608,62,2001
3.21275129201943,0.120455932628021,0.630004823349856,63,2001
3.34334525684182,0.128494542957647,0.639994732728574,64,2001
3.47188193233356,0.136872863388201,0.65000473067936,65,2001
3.63016069469763,0.145598671470074,0.660006567647743,66,2001
3.78795972809332,0.154689984546618,0.669996566707586,67,2001
3.94651639773045,0.164175061843369,0.679992006422364,68,2001
4.09834120671495,0.17406807826206,0.689996683293049,69,2001
4.25932053923807,0.184339207412054,0.700006800818669,70,2001
4.43276927916862,0.194998826221863,0.709997577114931,71,2001
4.62378436456961,0.206126194957624,0.720007096766383,72,2001
4.81143490709402,0.217700327918513,0.729997036038809,73,2001
5.01128198804333,0.229768167039589,0.739999650243611,74,2001
5.22314405369883,0.242333266287683,0.749999065821611,75,2001
5.43918401843246,0.255411662766422,0.759995163197975,76,2001
5.65727475595545,0.269039676539059,0.770004593168301,77,2001
5.91542174551035,0.283258398954306,0.780003470659549,78,2001
6.17934132728089,0.29809533858709,0.789991287478676,79,2001
6.42968901952321,0.313570475741815,0.799989806245423,80,2001
6.72812955521842,0.329712216442524,0.809997382805826,81,2001
7.0471458312888,0.346627391438891,0.819997187002036,82,2001
7.38762222735859,0.364346804774712,0.830001236104844,83,2001
7.76433106981705,0.382950603865401,0.840003102966936,84,2001
8.1462625211022,0.402469426884434,0.850007690156495,85,2001
8.53791142235182,0.422923214207563,0.85999670272396,86,2001
9.02323193856059,0.444487020980185,0.870009271533671,87,2001
9.53088734991049,0.467242718253096,0.880000735385227,88,2001
10.112281192147,0.491313630985005,0.889993185729162,89,2001
10.7361639839597,0.516907206992622,0.899995979296215,90,2001
11.458493517555,0.544203016917333,0.910010281941016,91,2001
12.3349761954069,0.573325166942854,0.919993405447919,92,2001
13.2971361680891,0.604792772423206,0.929994644542134,93,2001
14.433533564404,0.638852277991194,0.93999241596617,94,2001
15.9508711925445,0.676219407376758,0.949994761127597,95,2001
18.0120067471238,0.717765381796804,0.95999812267511,96,2001
20.433969305169,0.764817769805169,0.96999448909485,97,2001
24.4056193856185,0.819482018144061,0.979989988597045,98,2001
32.3365819707207,0.888056428451578,0.990006264226603,99,2001
249.211685910844,1,1,100,2001
0,0,2.99290567624315e-08,0,2002
0,0,0.010000345381315,1,2002
0,0,0.020001079840368,2,2002
0,0,0.0299992404005394,3,2002
0,0,0.0399997054980815,4,2002
0,0,0.0500003202409074,5,2002
0,0,0.0599999173958033,6,2002
0,0,0.0699993349763587,7,2002
0,0,0.079998393408233,8,2002
