"year","gini"
2001,0.682652790151842
2002,0.641815683310958
2003,0.598033448696982
2004,0.544567270342522
2005,0.488774356878703
2006,0.433290559143827
2007,0.387246329812807
2008,0.342948299790684
2009,0.305668423672946
2010,0.270706344764988
