"estimate","region","date","pop","gdp","lifeex","pov_intl"
"Max","East Asia & Pacific",1990,1754166013,32846.3896070232,78.8370731707317,0.952104275745
"Max","East Asia & Pacific",1991,1779284317,33870.3740402071,79.0368292682927,0.951517556783
"Max","East Asia & Pacific",1992,1802946756,34048.7845542093,79.080243902439,0.947373106749
"Max","East Asia & Pacific",1993,1825777375,33782.7354457333,79.3036585365854,0.939279813598
"Max","East Asia & Pacific",1994,1848480100,34053.5242335989,79.6968292682927,0.932928009435
"Max","East Asia & Pacific",1995,1870755748,34867.5803906089,79.5360975609756,0.922271633788
"Max","East Asia & Pacific",1996,1892721009,35878.7894669399,80.219756097561,0.912758335199
"Max","East Asia & Pacific",1997,1914534267,36144.6175538208,80.4241463414634,0.902308771224
"Max","East Asia & Pacific",1998,1935514675,36099.0229106261,80.5014634146342,0.891557388243
"Max","East Asia & Pacific",1999,1955084080,37475.9787592588,80.4609756097561,0.858499296766
"Max","East Asia & Pacific",2000,1974380842,38494.8866763373,81.0760975609756,0.8184655701
"Max","East Asia & Pacific",2001,1992025200,38779.6000002663,81.4163414634146,0.764496718967
"Max","East Asia & Pacific",2002,2008837833,39872.1475260579,81.6907317073171,0.712722573223
"Max","East Asia & Pacific",2003,2024982628,40642.5622844033,81.76,0.645215057832
"Max","East Asia & Pacific",2004,2040362927,41905.8496649704,82.030243902439,0.566320147309
"Max","East Asia & Pacific",2005,2055565588,42704.4424723347,81.9551219512195,0.526604308944
"Max","East Asia & Pacific",2006,2070742069,43286.7235365751,82.3219512195122,0.502061660701
"Max","East Asia & Pacific",2007,2085738331,44109.6693742979,82.5070731707317,0.461395964173
"Max","East Asia & Pacific",2008,2100713254,44777.2737194117,82.5875609756098,0.465868740876
"Max","East Asia & Pacific",2009,2115342751,44684.4014940539,82.9314634146342,0.431610249502
"Max","East Asia & Pacific",2010,2129784509,44965.3933643214,82.8426829268293,0.387208414694
"Max","East Asia & Pacific",2011,2145011812,45405.3653652747,82.5912195121951,0.394041305978
"Max","East Asia & Pacific",2012,2162144561,46360.6071243229,83.0960975609756,0.387208414694
"Max","East Asia & Pacific",2013,2179061870,46744.6238819012,83.3319512195122,0.38229457289
"Max","East Asia & Pacific",2014,2195419421,47240.2744640204,83.5878048780488,0.337783615296
"Max","East Asia & Pacific",2015,2211047641,47567.6806608932,83.7939024390244,0.320140160303
"Max","East Asia & Pacific",2016,2226637138,48109.2027153453,83.9848780487805,0.308077226329
"Max","East Asia & Pacific",2017,2242494267,48400.2457875228,84.099756097561,0.304021857112
"Max","East Asia & Pacific",2018,2256218228,49052.8179535889,84.2109756097561,0.31341827194
"Max","East Asia & Pacific",2019,2268160993,49379.093333787,84.3563414634146,0.305607132925
"Max","East Asia & Pacific",2020,2277861231,48747.8517145133,84.56,0.348610805148
